Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,23.0,TOT,NBA,PF,32.0,22.0,739.0,6.3,15.1,0.414,0.1,0.6,0.111,6.2,14.5,0.427,2.1,3.2,0.652,3.3,7.8,11.1,2.1,1.3,0.6,3.0,6.1,14.7,88.0,112.0,7.7,0.443,0.041,0.209,7.2,18.2,12.5,6.4,1.3,1.0,15.5,17.0,-0.7,0.2,-0.5,-0.033,-5.0,-2.0,-6.9,-0.9
2014-15,23.0,ATL,NBA,PF,3.0,0.0,19.0,5.4,18.8,0.286,0.0,2.7,0.0,5.4,16.1,0.333,2.7,5.4,0.5,2.7,8.1,10.8,0.0,2.7,0.0,0.0,10.8,13.4,76.0,101.0,2.9,0.317,0.143,0.286,6.2,17.5,12.0,0.0,2.7,0.0,0.0,19.0,0.0,0.0,0.0,-0.039,-8.7,-1.9,-10.6,0.0
2014-15,23.0,MIN,NBA,PF,29.0,22.0,720.0,6.3,15.0,0.418,0.1,0.6,0.125,6.2,14.5,0.429,2.0,3.1,0.659,3.3,7.8,11.2,2.1,1.3,0.6,3.1,5.9,14.7,89.0,112.0,7.8,0.448,0.038,0.207,7.2,18.2,12.5,6.6,1.3,1.0,15.9,16.9,-0.6,0.2,-0.5,-0.033,-4.9,-2.0,-6.8,-0.9
2015-16,24.0,MIN,NBA,PF,52.0,2.0,486.0,5.5,15.0,0.366,0.9,3.3,0.281,4.6,11.7,0.389,1.8,2.7,0.654,2.1,9.4,11.5,3.0,1.7,1.1,3.7,8.0,13.7,81.0,108.0,5.6,0.422,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-6.1,-0.2,-6.2,-0.5
2016-17,25.0,MIN,NBA,PF,18.0,0.0,135.0,8.6,20.3,0.426,1.1,5.6,0.2,7.5,14.7,0.513,5.3,7.1,0.737,3.4,9.0,12.4,2.6,3.0,2.6,3.0,12.0,23.7,103.0,105.0,14.4,0.505,0.278,0.352,7.7,21.0,14.3,8.0,3.0,4.4,11.4,23.1,0.0,0.2,0.2,0.086,-3.8,1.5,-2.3,0.0
2017-18,26.0,ORL,NBA,PF,5.0,0.0,43.0,8.0,11.4,0.7,2.3,3.4,0.667,5.7,8.0,0.714,5.7,6.8,0.833,2.3,8.0,10.2,0.0,2.3,0.0,2.3,6.8,23.9,140.0,109.0,18.8,0.831,0.3,0.6,5.1,18.0,11.5,0.0,2.3,0.0,13.7,15.0,0.1,0.0,0.2,0.203,1.8,0.6,2.4,0.0
Career,,,NBA,,107.0,24.0,1403.0,6.3,15.5,0.406,0.5,2.1,0.254,5.7,13.4,0.43,2.4,3.5,0.68,2.9,8.5,11.4,2.4,1.6,1.0,3.2,7.3,15.5,89.0,110.0,8.0,0.455,0.138,0.226,6.4,19.6,12.9,7.3,1.6,1.6,16.0,17.8,-1.4,0.8,-0.6,-0.019,-5.0,-0.9,-5.9,-1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,99.0,24.0,1341.0,6.2,15.6,0.4,0.5,2.1,0.236,5.7,13.5,0.426,2.3,3.4,0.674,2.9,8.5,11.4,2.5,1.6,1.0,3.3,7.3,15.2,88.0,110.0,7.7,0.447,0.133,0.216,6.4,19.7,13.0,7.6,1.6,1.6,16.3,17.8,-1.5,0.8,-0.7,-0.026,-5.2,-1.0,-6.1,-1.4
1 season,,ORL,NBA,,5.0,0.0,43.0,8.0,11.4,0.7,2.3,3.4,0.667,5.7,8.0,0.714,5.7,6.8,0.833,2.3,8.0,10.2,0.0,2.3,0.0,2.3,6.8,23.9,140.0,109.0,18.8,0.831,0.3,0.6,5.1,18.0,11.5,0.0,2.3,0.0,13.7,15.0,0.1,0.0,0.2,0.203,1.8,0.6,2.4,0.0
1 season,,ATL,NBA,,3.0,0.0,19.0,5.4,18.8,0.286,0.0,2.7,0.0,5.4,16.1,0.333,2.7,5.4,0.5,2.7,8.1,10.8,0.0,2.7,0.0,0.0,10.8,13.4,76.0,101.0,2.9,0.317,0.143,0.286,6.2,17.5,12.0,0.0,2.7,0.0,0.0,19.0,0.0,0.0,0.0,-0.039,-8.7,-1.9,-10.6,0.0
