Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2014-15,21.0,PHI,NBA,SF,74.0,32.0,1131.0,6.5,15.3,0.422,1.4,5.6,0.244,5.1,9.7,0.525,2.8,4.2,0.67,1.6,5.7,7.2,3.4,1.7,1.2,3.4,6.0,17.1,93.0,106.0,9.4,0.498,0.367,0.272,3.2,12.9,7.8,12.0,1.7,1.9,16.4,17.9,-0.5,1.1,0.6,0.025,-4.2,0.0,-4.2,-0.6
2015-16,22.0,TOT,NBA,SF,73.0,40.0,1160.0,6.0,13.5,0.442,0.6,2.7,0.222,5.4,10.8,0.496,3.4,5.2,0.656,2.0,6.1,8.1,2.0,1.0,1.4,3.0,6.1,15.9,94.0,110.0,8.3,0.504,0.199,0.385,4.2,14.0,9.0,6.2,1.0,2.2,15.9,16.6,-0.5,0.6,0.1,0.006,-4.5,-1.0,-5.4,-1.0
2015-16,22.0,PHI,NBA,SF,47.0,18.0,691.0,6.1,14.3,0.426,0.4,2.4,0.176,5.7,11.9,0.476,4.4,6.9,0.639,2.1,7.0,9.1,2.1,0.8,1.1,3.6,6.5,17.0,90.0,111.0,7.7,0.49,0.168,0.48,4.6,16.1,10.2,6.9,0.8,1.8,17.2,18.7,-0.6,0.3,-0.3,-0.021,-5.4,-1.3,-6.7,-0.8
2015-16,22.0,DEN,NBA,SF,26.0,22.0,469.0,5.8,12.3,0.47,0.9,3.1,0.276,4.9,9.2,0.535,1.9,2.7,0.72,1.7,4.8,6.5,1.7,1.3,1.8,2.0,5.5,14.3,102.0,110.0,9.3,0.532,0.252,0.217,3.7,10.8,7.2,5.1,1.3,3.0,13.1,13.5,0.1,0.3,0.4,0.045,-3.2,-0.4,-3.6,-0.2
2017-18,24.0,SAC,NBA,SF,22.0,6.0,344.0,6.5,11.9,0.543,0.7,1.5,0.5,5.7,10.4,0.549,1.5,2.4,0.625,3.1,8.4,11.5,1.3,1.2,3.2,1.2,7.1,15.1,117.0,108.0,13.9,0.585,0.123,0.198,6.7,19.7,12.9,3.9,1.2,6.1,8.3,12.5,0.4,0.4,0.8,0.114,-2.3,1.1,-1.2,0.1
2018-19,25.0,CHI,NBA,SF,4.0,0.0,127.0,11.1,20.6,0.537,1.9,5.3,0.357,9.2,15.3,0.6,6.5,8.0,0.81,1.9,10.3,12.2,1.5,1.5,1.1,1.5,3.1,30.5,123.0,111.0,22.5,0.633,0.259,0.389,4.2,23.4,13.7,5.3,1.5,2.0,5.9,23.1,0.3,0.1,0.5,0.173,3.6,0.2,3.7,0.2
2019-20,26.0,IND,NBA,PF,34.0,12.0,471.0,7.0,11.8,0.591,0.2,1.3,0.154,6.8,10.5,0.647,1.9,2.8,0.667,2.1,7.0,9.1,2.2,1.6,1.2,1.5,6.6,16.1,118.0,108.0,12.6,0.615,0.113,0.235,4.7,15.7,10.2,6.1,1.6,2.2,10.6,13.2,0.6,0.7,1.2,0.124,-2.8,1.4,-1.4,0.1
2020-21,27.0,IND,NBA,PF,29.0,4.0,316.0,8.4,16.9,0.496,0.4,2.2,0.2,7.9,14.7,0.541,2.8,4.3,0.655,4.0,7.5,11.5,0.6,0.3,2.1,2.2,7.8,20.0,104.0,114.0,10.9,0.533,0.133,0.257,9.3,17.1,13.2,1.8,0.3,3.6,10.7,19.0,0.0,0.3,0.3,0.044,-5.2,-2.3,-7.5,-0.4
Career,,,NBA,,236.0,94.0,3549.0,6.7,14.3,0.471,0.8,3.4,0.248,5.9,10.9,0.54,2.9,4.3,0.67,2.1,6.6,8.7,2.2,1.3,1.5,2.6,6.3,17.2,100.0,109.0,10.5,0.531,0.236,0.301,4.7,15.0,9.7,7.4,1.3,2.6,13.9,16.6,0.4,3.1,3.5,0.048,-3.7,-0.2,-4.0,-1.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHI,NBA,,121.0,50.0,1822.0,6.3,14.9,0.423,1.0,4.4,0.23,5.3,10.6,0.504,3.4,5.2,0.654,1.8,6.2,8.0,2.9,1.3,1.1,3.5,6.2,17.1,92.0,108.0,8.7,0.495,0.294,0.349,3.7,14.1,8.7,10.1,1.3,1.8,16.7,18.2,-1.1,1.4,0.3,0.008,-4.6,-0.5,-5.2,-1.5
2 seasons,,IND,NBA,,63.0,16.0,787.0,7.6,13.9,0.544,0.3,1.7,0.179,7.3,12.2,0.595,2.3,3.4,0.661,2.9,7.2,10.1,1.5,1.1,1.6,1.8,7.1,17.7,111.0,110.0,11.9,0.574,0.123,0.246,6.6,16.2,11.4,4.4,1.1,2.8,10.6,15.5,0.6,0.9,1.5,0.092,-3.8,-0.1,-3.9,-0.4
1 season,,DEN,NBA,,26.0,22.0,469.0,5.8,12.3,0.47,0.9,3.1,0.276,4.9,9.2,0.535,1.9,2.7,0.72,1.7,4.8,6.5,1.7,1.3,1.8,2.0,5.5,14.3,102.0,110.0,9.3,0.532,0.252,0.217,3.7,10.8,7.2,5.1,1.3,3.0,13.1,13.5,0.1,0.3,0.4,0.045,-3.2,-0.4,-3.6,-0.2
