Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2003-04,22.0,PHI,NBA,SG,53.0,0.0,767.0,10.2,25.4,0.401,1.4,4.3,0.311,8.8,21.0,0.419,4.2,5.8,0.728,1.1,3.5,4.6,3.8,1.8,0.4,4.2,5.9,25.9,89.0,105.0,10.8,0.464,0.171,0.227,2.5,7.5,5.0,14.1,1.8,0.5,13.1,27.7,-0.7,0.6,0.0,-0.003,-2.6,-1.2,-3.8,-0.3
2004-05,23.0,PHI,NBA,SG,57.0,21.0,1066.0,7.4,20.1,0.366,1.4,5.0,0.286,5.9,15.1,0.393,4.6,5.9,0.776,1.0,5.3,6.3,4.7,1.6,0.3,3.6,5.7,20.7,91.0,106.0,9.6,0.457,0.248,0.296,2.3,11.9,7.0,15.7,1.6,0.4,13.6,23.0,-0.9,1.1,0.1,0.007,-3.5,-0.6,-4.1,-0.6
2005-06,24.0,PHI,NBA,SG,10.0,2.0,153.0,9.5,22.3,0.424,3.4,6.4,0.526,6.1,15.9,0.383,1.4,1.7,0.8,0.3,4.7,5.1,1.7,0.7,0.0,4.1,4.4,23.7,90.0,112.0,8.6,0.513,0.288,0.076,0.8,10.7,5.7,5.7,0.7,0.0,15.0,23.9,-0.2,0.0,-0.1,-0.038,-2.7,-3.4,-6.1,-0.2
2006-07,25.0,PHI,NBA,SG,74.0,36.0,1842.0,10.3,24.9,0.411,1.5,4.5,0.325,8.8,20.4,0.43,2.1,3.2,0.667,1.2,3.3,4.5,3.2,1.6,0.1,3.0,4.1,24.1,91.0,110.0,10.3,0.458,0.181,0.128,2.7,7.5,5.1,11.2,1.6,0.2,10.4,25.7,-1.8,1.1,-0.7,-0.018,-2.9,-1.8,-4.7,-1.2
2007-08,26.0,PHI,NBA,SG,74.0,74.0,1970.0,10.2,23.4,0.436,1.4,4.8,0.285,8.8,18.6,0.475,3.0,4.0,0.757,0.9,4.0,4.9,4.1,1.5,0.6,2.9,3.2,24.8,101.0,109.0,12.8,0.492,0.206,0.17,1.9,9.1,5.5,13.2,1.5,0.9,10.4,23.9,0.4,1.6,2.1,0.05,-0.9,-0.8,-1.6,0.2
2008-09,27.0,PHI,NBA,SG,81.0,60.0,1828.0,8.3,19.2,0.435,1.5,4.7,0.317,6.9,14.5,0.473,1.8,2.5,0.729,0.8,2.8,3.7,4.6,1.5,0.4,1.9,4.5,20.0,105.0,112.0,11.1,0.493,0.245,0.129,1.9,6.4,4.1,14.4,1.5,0.6,8.4,18.9,1.1,1.2,2.3,0.06,-1.7,-0.4,-2.1,0.0
2009-10,28.0,PHI,NBA,SG,73.0,18.0,1553.0,8.4,18.3,0.457,1.6,4.6,0.346,6.8,13.7,0.494,3.2,3.8,0.833,0.7,3.7,4.4,5.1,1.1,0.4,2.3,4.6,21.5,109.0,114.0,12.8,0.538,0.25,0.21,1.5,8.4,4.9,15.8,1.1,0.6,10.1,19.4,1.8,0.3,2.2,0.067,-0.7,-1.5,-2.2,-0.1
2010-11,29.0,NOH,NBA,SG,77.0,13.0,1674.0,8.7,19.7,0.443,1.7,5.0,0.348,7.0,14.7,0.476,2.5,3.2,0.78,0.7,4.5,5.2,2.4,1.2,0.4,2.2,4.6,21.7,100.0,108.0,10.8,0.515,0.255,0.164,1.6,10.2,5.9,7.6,1.2,0.6,9.3,20.5,0.3,1.5,1.8,0.052,-2.1,-0.7,-2.8,-0.3
2011-12,30.0,ATL,NBA,SG,53.0,2.0,922.0,8.8,18.8,0.471,2.9,6.5,0.442,5.9,12.2,0.486,2.8,3.2,0.857,0.9,3.8,4.6,2.3,1.3,0.3,1.9,4.3,23.3,110.0,105.0,13.9,0.578,0.348,0.172,1.9,8.2,5.1,7.4,1.3,0.5,8.6,19.5,1.4,0.9,2.4,0.122,0.1,-0.6,-0.5,0.3
2012-13,31.0,LAC,NBA,SG,72.0,60.0,1188.0,7.9,17.1,0.461,3.1,7.4,0.428,4.7,9.8,0.486,1.0,1.4,0.719,0.8,3.5,4.3,2.4,1.3,0.5,1.4,4.3,19.9,113.0,108.0,11.8,0.562,0.43,0.083,1.7,7.9,4.9,7.1,1.3,0.8,7.2,16.6,1.7,0.9,2.5,0.103,-0.2,-0.7,-0.8,0.3
2013-14,32.0,LAC,NBA,SG,55.0,9.0,869.0,5.9,15.6,0.376,2.4,7.0,0.339,3.5,8.6,0.407,1.6,2.0,0.824,0.7,3.8,4.5,2.9,1.3,0.6,2.0,5.5,15.7,96.0,108.0,7.1,0.477,0.446,0.125,1.6,8.2,5.0,8.3,1.3,1.0,10.6,16.3,-0.2,0.7,0.5,0.028,-3.1,-0.1,-3.2,-0.3
2014-15,33.0,ORL,NBA,SG,52.0,2.0,951.0,6.3,16.5,0.386,2.3,6.5,0.347,4.1,9.9,0.411,1.5,1.8,0.824,0.8,3.5,4.2,3.7,1.4,0.3,2.6,4.4,16.5,93.0,111.0,7.9,0.477,0.395,0.111,1.6,7.9,4.7,10.9,1.4,0.4,13.0,17.6,-0.4,0.4,-0.1,-0.003,-3.2,-1.0,-4.2,-0.5
Career,,,NBA,,731.0,297.0,14783.0,8.6,20.2,0.425,1.8,5.3,0.346,6.8,14.9,0.454,2.5,3.3,0.765,0.9,3.8,4.6,3.6,1.4,0.4,2.5,4.5,21.6,99.0,109.0,11.0,0.498,0.263,0.163,1.9,8.5,5.2,11.6,1.4,0.6,10.4,21.1,2.6,10.3,12.9,0.042,-1.8,-0.9,-2.7,-2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHI,NBA,,422.0,211.0,9179.0,9.2,21.8,0.422,1.5,4.7,0.317,7.7,17.1,0.451,2.9,3.8,0.752,0.9,3.7,4.6,4.2,1.5,0.4,2.8,4.4,22.7,98.0,110.0,11.4,0.485,0.216,0.177,2.1,8.3,5.2,13.7,1.5,0.5,10.8,22.7,-0.2,6.0,5.8,0.03,-1.9,-1.1,-3.0,-2.2
2 seasons,,LAC,NBA,,127.0,69.0,2057.0,7.0,16.5,0.426,2.8,7.2,0.39,4.2,9.3,0.454,1.3,1.7,0.773,0.7,3.7,4.4,2.6,1.3,0.6,1.6,4.8,18.1,105.0,108.0,9.8,0.527,0.437,0.1,1.7,8.0,4.9,7.6,1.3,0.9,8.7,16.4,1.5,1.6,3.0,0.071,-1.4,-0.4,-1.8,0.1
1 season,,NOH,NBA,,77.0,13.0,1674.0,8.7,19.7,0.443,1.7,5.0,0.348,7.0,14.7,0.476,2.5,3.2,0.78,0.7,4.5,5.2,2.4,1.2,0.4,2.2,4.6,21.7,100.0,108.0,10.8,0.515,0.255,0.164,1.6,10.2,5.9,7.6,1.2,0.6,9.3,20.5,0.3,1.5,1.8,0.052,-2.1,-0.7,-2.8,-0.3
1 season,,ATL,NBA,,53.0,2.0,922.0,8.8,18.8,0.471,2.9,6.5,0.442,5.9,12.2,0.486,2.8,3.2,0.857,0.9,3.8,4.6,2.3,1.3,0.3,1.9,4.3,23.3,110.0,105.0,13.9,0.578,0.348,0.172,1.9,8.2,5.1,7.4,1.3,0.5,8.6,19.5,1.4,0.9,2.4,0.122,0.1,-0.6,-0.5,0.3
1 season,,ORL,NBA,,52.0,2.0,951.0,6.3,16.5,0.386,2.3,6.5,0.347,4.1,9.9,0.411,1.5,1.8,0.824,0.8,3.5,4.2,3.7,1.4,0.3,2.6,4.4,16.5,93.0,111.0,7.9,0.477,0.395,0.111,1.6,7.9,4.7,10.9,1.4,0.4,13.0,17.6,-0.4,0.4,-0.1,-0.003,-3.2,-1.0,-4.2,-0.5
