Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2012-13,23.0,ORL,NBA,PF,75.0,28.0,1249.0,10.7,20.3,0.527,0.0,0.0,,10.7,20.3,0.527,3.1,3.9,0.798,2.9,7.9,10.8,1.8,1.0,1.3,3.3,5.5,24.5,103.0,109.0,15.1,0.557,0.0,0.193,6.2,17.1,11.7,6.1,1.0,2.0,13.0,22.1,0.9,0.8,1.7,0.065,-1.8,-0.9,-2.7,-0.2
2013-14,24.0,ORL,NBA,PF,76.0,5.0,1174.0,7.9,18.3,0.429,1.2,3.9,0.315,6.6,14.5,0.459,2.1,2.5,0.825,2.3,8.8,11.1,1.1,0.8,1.0,2.2,6.5,19.0,95.0,108.0,9.9,0.489,0.212,0.136,5.1,19.5,12.3,3.5,0.8,1.5,10.3,19.3,-0.4,1.0,0.6,0.025,-3.9,-1.2,-5.1,-0.9
2014-15,25.0,ORL,NBA,PF,40.0,3.0,492.0,8.6,19.8,0.437,1.4,4.3,0.317,7.3,15.5,0.47,1.6,2.6,0.6,1.8,6.8,8.5,2.3,0.6,1.2,2.5,5.3,20.2,94.0,109.0,10.3,0.483,0.216,0.132,3.8,15.2,9.4,7.3,0.6,2.0,10.7,20.8,-0.2,0.3,0.1,0.007,-3.4,-1.6,-4.9,-0.4
2015-16,26.0,ORL,NBA,PF,56.0,0.0,823.0,8.9,18.8,0.471,2.5,6.9,0.36,6.4,11.9,0.536,3.1,3.9,0.785,2.1,10.1,12.2,1.5,0.6,1.3,2.5,4.2,23.3,106.0,107.0,14.8,0.567,0.368,0.21,4.5,22.8,13.5,4.8,0.6,2.2,10.8,20.4,0.8,0.8,1.6,0.092,0.0,-1.1,-1.1,0.2
2016-17,27.0,TOT,NBA,PF,38.0,0.0,342.0,6.1,15.8,0.387,0.7,3.8,0.185,5.4,12.0,0.452,1.3,2.0,0.643,2.1,6.5,8.7,1.4,2.3,0.9,2.4,7.8,14.2,85.0,108.0,5.9,0.427,0.243,0.126,4.9,14.6,9.8,4.1,2.3,1.5,12.7,17.0,-0.5,0.4,-0.1,-0.019,-6.1,0.1,-6.0,-0.3
2016-17,27.0,WAS,NBA,PF,28.0,0.0,231.0,6.4,16.4,0.39,0.6,3.4,0.188,5.8,13.0,0.443,1.5,2.6,0.583,2.3,4.9,7.3,1.5,2.3,1.3,2.3,7.9,14.9,87.0,108.0,6.3,0.425,0.208,0.156,5.4,11.2,8.3,4.2,2.3,2.2,11.8,17.6,-0.3,0.3,-0.1,-0.014,-5.7,0.2,-5.6,-0.2
2016-17,27.0,BRK,NBA,PF,10.0,0.0,111.0,5.6,14.5,0.382,0.9,4.7,0.182,4.7,9.8,0.478,0.9,0.9,1.0,1.7,9.8,11.5,1.3,2.1,0.0,2.6,7.7,12.8,81.0,108.0,5.0,0.43,0.324,0.059,3.9,21.7,12.9,4.0,2.1,0.0,14.7,15.8,-0.2,0.1,-0.1,-0.03,-6.7,-0.1,-6.8,-0.1
Career,,,NBA,,285.0,36.0,4080.0,8.9,19.0,0.467,1.1,3.4,0.321,7.8,15.6,0.498,2.5,3.2,0.773,2.4,8.4,10.7,1.6,0.9,1.2,2.7,5.7,21.3,99.0,108.0,12.2,0.522,0.179,0.168,5.2,18.5,11.8,5.1,0.9,1.9,11.5,20.3,0.5,3.3,3.8,0.045,-2.6,-1.0,-3.6,-1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,ORL,NBA,,247.0,36.0,3738.0,9.1,19.3,0.473,1.1,3.3,0.336,8.0,15.9,0.502,2.6,3.3,0.78,2.4,8.5,10.9,1.6,0.8,1.2,2.7,5.5,21.9,100.0,108.0,12.7,0.529,0.174,0.171,5.2,18.9,12.0,5.2,0.8,1.9,11.4,20.7,1.0,2.9,4.0,0.051,-2.2,-1.1,-3.4,-1.3
1 season,,WAS,NBA,,28.0,0.0,231.0,6.4,16.4,0.39,0.6,3.4,0.188,5.8,13.0,0.443,1.5,2.6,0.583,2.3,4.9,7.3,1.5,2.3,1.3,2.3,7.9,14.9,87.0,108.0,6.3,0.425,0.208,0.156,5.4,11.2,8.3,4.2,2.3,2.2,11.8,17.6,-0.3,0.3,-0.1,-0.014,-5.7,0.2,-5.6,-0.2
1 season,,BRK,NBA,,10.0,0.0,111.0,5.6,14.5,0.382,0.9,4.7,0.182,4.7,9.8,0.478,0.9,0.9,1.0,1.7,9.8,11.5,1.3,2.1,0.0,2.6,7.7,12.8,81.0,108.0,5.0,0.43,0.324,0.059,3.9,21.7,12.9,4.0,2.1,0.0,14.7,15.8,-0.2,0.1,-0.1,-0.03,-6.7,-0.1,-6.8,-0.1
