Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2016-17,22.0,POR,NBA,SF,35.0,1.0,249.0,5.2,17.7,0.292,2.6,10.2,0.255,2.6,7.6,0.342,2.6,3.4,0.765,1.2,3.6,4.8,2.2,1.8,0.6,2.2,4.4,15.6,84.0,113.0,4.9,0.404,0.573,0.191,2.7,8.0,5.3,6.2,1.8,1.0,10.2,19.0,-0.4,0.1,-0.3,-0.054,-5.2,-1.2,-6.4,-0.3
2017-18,23.0,POR,NBA,SF,35.0,1.0,160.0,4.4,14.6,0.298,1.2,6.2,0.2,3.1,8.4,0.37,0.6,0.9,0.667,1.2,3.7,5.0,3.4,1.9,1.2,1.6,4.0,10.6,81.0,107.0,4.9,0.352,0.426,0.064,2.8,8.1,5.5,9.4,1.9,2.0,9.4,14.6,-0.3,0.2,-0.1,-0.021,-4.8,0.4,-4.3,-0.1
2018-19,24.0,POR,NBA,SF,71.0,33.0,1327.0,7.9,15.5,0.509,2.2,6.6,0.326,5.7,8.9,0.646,1.8,2.6,0.704,2.0,5.9,7.9,1.9,1.1,1.1,1.7,4.2,19.7,118.0,112.0,13.5,0.594,0.427,0.167,4.6,12.6,8.7,5.6,1.1,1.8,9.2,15.9,1.9,1.2,3.1,0.111,-0.1,-0.3,-0.5,0.5
2019-20,25.0,MIN,NBA,SF,23.0,2.0,505.0,7.4,16.5,0.453,2.2,6.6,0.333,5.2,9.8,0.533,2.2,2.9,0.75,1.6,3.7,5.2,1.4,1.6,0.9,2.2,4.3,19.3,102.0,114.0,10.3,0.544,0.402,0.179,3.4,8.7,6.0,4.4,1.6,1.6,11.1,17.7,0.0,0.3,0.3,0.03,-2.8,-0.9,-3.7,-0.2
2020-21,26.0,MIN,NBA,SF,45.0,11.0,627.0,6.9,13.9,0.495,1.7,5.9,0.295,5.1,8.0,0.642,2.0,2.8,0.703,1.0,4.1,5.0,2.1,2.2,1.4,2.0,3.3,17.4,107.0,115.0,11.4,0.577,0.424,0.201,2.2,9.7,5.8,6.4,2.2,2.6,11.5,15.1,0.2,0.5,0.7,0.051,-2.2,0.2,-2.1,0.0
2021-22,27.0,MIN,NBA,SF,34.0,1.0,231.0,6.2,15.0,0.411,1.6,7.2,0.229,4.5,7.8,0.579,2.7,3.7,0.722,1.2,6.2,7.4,1.9,1.4,1.0,2.1,2.5,16.7,99.0,113.0,9.0,0.5,0.479,0.247,2.7,14.3,8.4,5.3,1.4,2.1,11.0,16.4,-0.1,0.2,0.1,0.024,-3.3,-0.6,-3.9,-0.1
Career,,,NBA,,243.0,49.0,3099.0,7.1,15.4,0.46,2.0,6.8,0.3,5.1,8.6,0.585,2.0,2.8,0.719,1.6,4.9,6.5,2.0,1.5,1.1,1.9,3.9,18.2,107.0,113.0,11.1,0.547,0.439,0.179,3.5,10.9,7.2,5.8,1.5,1.9,10.2,16.3,1.3,2.5,3.8,0.059,-1.9,-0.4,-2.3,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,141.0,35.0,1736.0,7.2,15.7,0.457,2.1,7.1,0.302,5.1,8.6,0.584,1.8,2.6,0.714,1.9,5.4,7.2,2.1,1.3,1.0,1.7,4.2,18.3,109.0,111.0,11.5,0.544,0.45,0.163,4.2,11.6,7.9,6.1,1.3,1.7,9.4,16.3,1.2,1.5,2.7,0.075,-1.3,-0.4,-1.7,0.2
3 seasons,,MIN,NBA,,102.0,14.0,1363.0,7.0,15.0,0.463,1.9,6.4,0.297,5.1,8.7,0.586,2.2,3.0,0.724,1.2,4.3,5.5,1.8,1.8,1.2,2.1,3.6,18.0,104.0,114.0,10.6,0.55,0.424,0.2,2.7,10.1,6.3,5.5,1.8,2.2,11.2,16.3,0.1,1.0,1.1,0.038,-2.6,-0.4,-3.0,-0.3
