Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,24,TOT,NBA,C,31,6,12.6,1.2,2.7,.458,0.0,0.0,,1.2,2.7,.458,.458,0.7,1.0,.656,1.2,2.9,4.1,0.2,0.2,0.7,0.6,2.1,3.1
2014-15,25,ORL,NBA,C,59,15,14.3,1.5,2.7,.562,0.0,0.0,.000,1.5,2.7,.565,.562,0.6,1.1,.531,2.0,3.0,5.0,0.2,0.3,0.8,0.9,2.4,3.7
2015-16,26,ORL,NBA,C,58,20,12.2,1.7,3.1,.559,0.0,0.0,,1.7,3.1,.559,.559,1.0,1.3,.750,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4
2016-17,27,SAS,NBA,C,76,37,17.5,2.1,3.4,.622,0.0,0.0,,2.1,3.4,.622,.622,0.9,1.2,.699,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1
2017-18,28,ATL,NBA,C,62,46,24.9,4.0,7.7,.524,0.8,2.3,.355,3.2,5.4,.595,.577,1.1,1.4,.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10.0
2018-19,29,ATL,NBA,C,64,52,25.1,4.0,8.2,.492,1.3,3.4,.382,2.8,4.8,.570,.571,1.4,1.8,.814,1.6,5.9,7.5,1.4,1.1,1.1,1.3,3.3,10.8
2019-20,30,TOT,NBA,C,44,18,17.6,2.3,5.8,.400,0.5,2.4,.206,1.8,3.4,.541,.443,0.7,0.8,.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8
2020-21,31,MIA,NBA,C,16,0,13.1,2.9,4.1,.708,0.1,0.3,.200,2.8,3.8,.750,.715,1.3,1.7,.741,1.8,3.6,5.4,0.8,0.6,0.4,0.8,2.3,7.1
2021-22,32,MIA,NBA,C,67,15,15.9,2.4,4.3,.566,0.3,0.7,.404,2.2,3.6,.597,.598,1.1,1.5,.750,1.6,4.2,5.8,0.7,0.4,0.6,1.0,2.6,6.3
2022-23,33,MIA,NBA,C,25,0,12.2,2.4,4.8,.508,0.4,1.4,.314,2.0,3.4,.588,.554,1.2,1.6,.725,1.0,2.7,3.7,0.6,0.2,0.5,0.6,2.0,6.5
