Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,20,SAS,NBA,PG,29,1,9.2,0.8,2.4,.314,0.1,0.5,.200,0.7,1.9,.345,.336,0.4,0.6,.647,0.2,0.7,0.9,1.2,0.2,0.1,0.4,0.6,2.0
2012-13,21,SAS,NBA,PG,28,9,13.9,1.8,3.9,.464,0.2,0.8,.286,1.6,3.2,.506,.491,0.6,0.8,.857,0.4,1.4,1.9,1.9,0.5,0.1,0.8,0.9,4.5
2013-14,22,SAS,NBA,SG,68,19,13.8,1.9,3.9,.475,0.2,0.6,.316,1.7,3.3,.502,.498,1.2,1.4,.823,0.5,1.1,1.6,1.7,0.5,0.2,0.6,1.2,5.0
2014-15,23,SAS,NBA,PG,79,14,18.3,2.6,5.2,.504,0.2,0.6,.364,2.4,4.6,.520,.523,1.3,1.8,.734,0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8
2015-16,24,TOR,NBA,SG,80,4,25.6,3.2,7.3,.439,0.4,1.4,.273,2.8,5.9,.478,.465,1.7,2.2,.764,0.5,2.1,2.6,3.1,0.8,0.3,1.3,1.6,8.5
2016-17,25,TOR,NBA,PG,80,22,25.0,3.7,8.3,.452,0.6,1.7,.356,3.1,6.6,.477,.489,1.2,1.5,.770,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3
2017-18,26,IND,NBA,PG,82,17,27.0,3.1,7.4,.424,0.8,2.3,.353,2.3,5.0,.457,.479,0.9,1.1,.745,0.5,2.7,3.2,3.2,1.0,0.2,1.1,1.7,7.9
2018-19,27,IND,NBA,PG,82,9,25.2,2.8,6.7,.412,0.7,2.1,.322,2.1,4.6,.454,.463,0.4,0.5,.698,0.5,2.9,3.4,3.9,1.1,0.3,1.0,1.6,6.5
2019-20,28,SAC,NBA,PG,72,26,24.4,2.4,5.7,.415,0.8,2.2,.352,1.6,3.5,.455,.483,0.8,1.0,.857,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,6.4
2020-21,29,TOT,NBA,PG,63,13,23.0,3.2,6.8,.469,0.7,2.1,.341,2.5,4.7,.527,.522,1.1,1.4,.818,0.6,2.0,2.5,3.4,1.0,0.3,1.3,2.2,8.2
2021-22,30,DET,NBA,PG,65,39,24.6,2.7,6.2,.445,1.0,2.4,.414,1.7,3.7,.465,.526,1.5,1.7,.885,0.4,2.2,2.7,3.6,0.6,0.3,1.3,2.3,8.0
2022-23,31,DET,NBA,PG,26,2,15.6,1.8,4.3,.416,0.7,1.8,.354,1.2,2.5,.462,.491,0.5,0.8,.700,0.3,0.8,1.1,3.3,0.3,0.1,0.6,1.4,4.8
