Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,MEM,NBA,SF,71,1,11.2,1.2,3.1,.396,0.0,0.1,.000,1.2,3.0,.407,.396,0.5,0.7,.623,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1.5,2.9
2010-11,24,TOT,NBA,PF,12,0,4.2,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.2,0.2,1.000,0.2,0.5,0.7,0.3,0.1,0.1,0.0,0.4,0.8
2011-12,25,TOT,NBA,"PF,SF",24,9,14.5,1.8,4.4,.410,0.3,0.8,.368,1.5,3.6,.419,.443,0.6,0.7,.875,1.2,1.0,2.2,0.8,0.5,0.0,0.5,1.5,4.5
2012-13,26,UTA,NBA,SF,66,12,16.8,2.3,4.9,.460,0.3,1.1,.286,2.0,3.8,.508,.491,1.1,1.5,.765,1.3,1.5,2.8,0.9,0.9,0.4,0.5,1.8,6.0
2013-14,27,ATL,NBA,SF,73,73,32.1,4.1,8.8,.470,1.3,3.7,.362,2.8,5.1,.548,.546,1.5,1.9,.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1
2014-15,28,ATL,NBA,SF,70,69,31.3,4.5,9.3,.487,1.7,4.3,.395,2.8,5.0,.567,.579,1.8,2.6,.702,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6
2015-16,29,TOR,NBA,SF,26,22,30.2,4.0,10.4,.389,1.8,4.5,.390,2.3,5.8,.388,.474,1.2,1.9,.600,1.2,3.5,4.7,1.0,1.7,0.2,1.1,2.4,11.0
2016-17,30,TOR,NBA,SF,72,72,26.1,3.1,7.6,.400,1.5,4.4,.341,1.5,3.2,.483,.499,1.2,1.6,.761,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9
2017-18,31,BRK,NBA,PF,73,73,29.9,4.5,10.8,.414,2.0,5.4,.371,2.5,5.4,.457,.506,2.6,3.4,.764,1.4,5.1,6.6,2.0,0.8,0.4,1.4,2.3,13.5
2018-19,32,BRK,NBA,PF,67,8,25.4,3.4,8.6,.395,1.6,4.6,.342,1.8,4.0,.457,.487,2.7,3.6,.760,1.0,4.2,5.2,1.3,0.5,0.1,1.1,1.7,11.1
2019-20,33,TOT,NBA,"C,SF",24,0,12.1,1.0,2.8,.379,0.3,1.4,.242,0.7,1.4,.515,.439,1.2,1.8,.690,0.5,1.8,2.3,1.0,0.3,0.2,0.7,1.3,3.6
