Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,24,SEA,NBA,C,82,4,17.0,2.3,4.3,.537,0.0,0.0,.000,2.3,4.3,.541,.537,1.0,1.4,.703,1.9,2.7,4.6,0.4,0.4,0.6,0.8,3.1,5.6
2005-06,25,SEA,NBA,PF,66,27,21.9,3.1,6.0,.525,0.0,0.0,.000,3.1,5.9,.529,.525,1.2,1.7,.699,2.2,3.4,5.6,1.1,0.3,0.5,1.2,3.2,7.5
2006-07,26,SEA,NBA,C,82,56,29.0,3.9,7.8,.500,0.0,0.0,.000,3.9,7.7,.502,.500,1.9,2.4,.774,2.8,5.3,8.1,1.0,0.6,0.8,1.5,3.5,9.6
2007-08,27,SEA,NBA,PF,78,35,28.5,4.1,8.2,.502,0.0,0.0,.000,4.1,8.2,.504,.502,1.6,2.1,.737,3.3,6.1,9.4,1.4,0.6,0.8,1.5,3.2,9.8
2008-09,28,OKC,NBA,C,71,40,25.8,3.4,6.0,.568,0.0,0.0,.000,3.4,6.0,.570,.568,1.4,1.9,.721,2.5,4.3,6.9,0.9,0.7,0.7,1.0,3.4,8.2
2009-10,29,OKC,NBA,C,75,5,20.8,2.4,4.1,.589,0.0,0.1,.250,2.4,4.1,.593,.591,1.0,1.4,.692,2.0,3.1,5.1,0.5,0.5,0.6,0.8,3.1,5.9
2010-11,30,OKC,NBA,C,71,2,21.5,1.9,3.4,.566,0.0,0.0,,1.9,3.4,.566,.566,0.8,1.0,.753,1.7,2.8,4.5,1.0,0.6,0.4,0.8,3.0,4.6
2011-12,31,OKC,NBA,PF,63,0,20.7,1.9,3.2,.597,0.0,0.0,.000,1.9,3.2,.600,.597,0.7,1.0,.710,1.9,2.5,4.3,1.3,0.5,0.4,1.0,2.4,4.5
2012-13,32,OKC,NBA,C,81,2,19.5,2.2,3.7,.595,0.0,0.0,.000,2.2,3.6,.603,.595,0.7,1.0,.769,1.5,2.6,4.1,1.5,0.6,0.4,0.9,2.4,5.1
2013-14,33,OKC,NBA,PF,81,0,16.7,1.7,3.0,.556,0.0,0.2,.235,1.6,2.8,.580,.564,0.8,1.1,.710,1.4,2.2,3.6,1.3,0.4,0.3,0.9,2.3,4.2
2014-15,34,OKC,NBA,PF,66,2,16.7,1.6,3.8,.419,0.2,0.9,.267,1.4,2.9,.466,.451,0.7,1.0,.692,1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1
2015-16,35,OKC,NBA,PF,59,4,11.8,0.8,1.8,.459,0.0,0.0,.000,0.8,1.8,.467,.459,0.4,0.6,.697,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1
2016-17,36,OKC,NBA,PF,20,0,6.4,0.7,1.2,.609,0.0,0.1,.000,0.7,1.1,.636,.609,0.3,0.4,.625,0.5,1.1,1.6,0.6,0.1,0.1,0.2,0.9,1.7
2017-18,37,OKC,NBA,PF,15,0,5.0,0.9,1.3,.684,0.0,0.0,,0.9,1.3,.684,.684,0.3,0.9,.385,0.5,0.9,1.3,0.3,0.0,0.0,0.5,0.5,2.1
