Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,23,GSW,NBA,SG,61,0,4.4,0.7,1.9,.371,0.2,0.6,.294,0.5,1.3,.402,.414,0.4,0.7,.614,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2.0
2013-14,24,TOT,NBA,SG,67,15,13.6,2.2,5.1,.429,0.6,1.9,.336,1.6,3.2,.484,.491,1.0,1.6,.606,0.1,1.6,1.7,1.4,0.6,0.2,1.2,1.5,6.0
2014-15,25,ATL,NBA,SG,75,10,17.7,1.9,4.4,.426,0.6,1.8,.364,1.2,2.7,.467,.498,0.8,1.3,.600,0.3,2.7,3.0,1.0,0.7,0.4,1.0,1.7,5.2
2015-16,26,ATL,NBA,SF,75,68,27.8,4.3,9.7,.441,1.5,4.1,.357,2.8,5.6,.502,.517,1.6,2.0,.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6
2016-17,27,ATL,NBA,SF,73,64,26.9,4.0,9.9,.409,1.3,3.6,.346,2.8,6.2,.446,.473,1.6,2.3,.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11.0
2017-18,28,ATL,NBA,SG,65,65,27.5,4.4,10.4,.420,1.7,4.2,.394,2.7,6.2,.438,.500,2.5,3.1,.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9
2018-19,29,ATL,NBA,SG,67,35,24.5,4.1,10.3,.402,1.4,4.5,.320,2.7,5.8,.465,.472,1.9,2.6,.726,0.6,3.3,3.9,2.3,1.3,0.6,1.8,2.5,11.6
2019-20,30,TOT,NBA,SF,68,21,24.8,2.9,7.9,.375,1.2,3.6,.344,1.7,4.3,.400,.453,1.7,2.2,.769,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9,8.8
2020-21,31,GSW,NBA,SF,67,18,19.9,2.6,5.9,.449,1.1,2.7,.408,1.5,3.1,.486,.545,0.8,1.2,.692,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.4,7.2
2021-22,32,LAL,NBA,SF,39,14,14.0,1.2,3.6,.324,0.7,2.1,.363,0.4,1.5,.271,.428,0.3,0.4,.765,0.3,1.4,1.8,0.9,0.6,0.2,0.5,1.8,3.4
