Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,UTA,NBA,PG,80,47,28.8,4.2,10.1,.421,1.1,2.7,.416,3.1,7.3,.423,.478,1.2,1.7,.704,0.4,2.0,2.4,4.5,0.8,0.2,1.8,2.9,10.8
2006-07,22,UTA,NBA,PG,80,80,36.9,6.2,13.5,.456,1.0,3.2,.322,5.2,10.4,.498,.494,2.8,3.7,.767,0.5,2.8,3.3,9.3,1.0,0.2,3.1,3.2,16.2
2007-08,23,UTA,NBA,PG,82,82,37.3,6.9,13.6,.507,1.0,2.6,.395,5.9,11.1,.533,.544,4.0,5.0,.803,0.4,2.5,3.0,10.5,1.1,0.3,3.4,2.4,18.8
2008-09,24,UTA,NBA,PG,68,68,36.8,6.8,14.5,.471,1.0,3.3,.310,5.8,11.1,.518,.506,4.8,5.6,.849,0.4,2.5,2.9,10.7,1.1,0.3,3.4,2.0,19.4
2009-10,25,UTA,NBA,PG,76,76,36.9,6.5,13.9,.469,1.3,3.4,.371,5.2,10.4,.501,.515,4.4,5.5,.801,0.7,3.3,4.0,10.5,1.3,0.2,3.3,2.7,18.7
2010-11,26,TOT,NBA,PG,65,65,37.9,6.6,15.0,.439,1.6,4.9,.331,5.0,10.1,.491,.493,5.4,6.3,.845,0.6,3.4,4.0,10.3,1.2,0.2,3.5,2.9,20.1
2011-12,27,NJN,NBA,PG,55,55,36.3,7.1,17.5,.407,2.1,6.2,.336,5.0,11.3,.446,.467,4.7,5.5,.843,0.4,2.9,3.3,8.7,1.2,0.4,4.0,2.2,21.0
2012-13,28,BRK,NBA,PG,78,78,36.4,6.3,14.4,.440,2.2,5.7,.378,4.2,8.7,.482,.516,4.1,4.7,.859,0.4,2.6,3.0,7.7,1.0,0.4,2.8,2.5,18.9
2013-14,29,BRK,NBA,PG,64,58,32.2,5.0,11.2,.450,1.5,4.2,.366,3.5,7.0,.500,.518,2.7,3.4,.801,0.2,2.4,2.6,6.1,1.5,0.2,2.2,2.3,14.3
2014-15,30,BRK,NBA,PG,68,55,31.1,4.4,11.3,.387,1.3,3.5,.367,3.1,7.9,.395,.443,3.0,3.5,.834,0.4,3.1,3.5,6.6,0.9,0.3,2.3,2.3,13.0
2015-16,31,DAL,NBA,PG,65,63,32.4,4.9,11.9,.414,1.5,4.3,.344,3.4,7.6,.454,.477,2.8,3.2,.869,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1
2016-17,32,TOT,NBA,PG,64,44,25.9,4.1,9.4,.438,1.3,3.7,.363,2.8,5.7,.486,.509,1.4,1.7,.826,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11.0
