Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,DET,NBA,SG,75,9,12.9,1.3,3.2,.411,0.1,0.6,.208,1.2,2.6,.461,.432,0.9,1.2,.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7
2008-09,23,DET,NBA,SG,74,8,16.7,1.8,4.1,.437,0.6,1.4,.402,1.2,2.6,.456,.508,0.8,1.0,.817,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9
2009-10,24,DEN,NBA,SG,82,75,27.1,3.3,7.1,.465,1.3,3.0,.434,2.0,4.1,.488,.557,0.9,1.2,.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8
2010-11,25,DEN,NBA,SG,69,69,33.7,4.5,9.1,.498,1.5,3.6,.423,3.0,5.5,.546,.581,2.0,2.4,.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6
2011-12,26,DEN,NBA,SG,62,62,33.6,5.3,11.3,.471,1.4,3.6,.398,3.9,7.7,.504,.534,3.2,4.0,.798,0.6,2.5,3.2,2.4,0.6,0.2,1.4,2.2,15.2
2012-13,27,ORL,NBA,SF,64,64,36.0,6.2,14.1,.439,1.1,3.8,.300,5.1,10.4,.489,.478,3.0,3.5,.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5
2013-14,28,ORL,NBA,SG,73,73,35.0,6.4,13.8,.459,1.8,4.1,.427,4.6,9.7,.473,.522,3.8,4.6,.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,18.2
2014-15,29,TOT,NBA,SG,78,72,32.1,4.8,11.3,.424,1.5,4.3,.354,3.3,7.1,.466,.491,2.1,2.5,.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3
2015-16,30,NYK,NBA,SG,71,57,33.4,5.0,11.3,.443,1.3,3.4,.382,3.7,7.9,.469,.500,1.5,1.8,.840,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8
2016-17,31,SAC,NBA,SG,61,45,25.9,3.0,6.9,.440,1.0,2.5,.411,2.0,4.4,.457,.514,1.4,1.5,.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4
2017-18,32,ORL,NBA,SG,53,3,12.9,1.2,3.1,.401,0.5,1.3,.386,0.7,1.7,.413,.485,0.4,0.5,.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4
